DescricaoObraServico,CodigoObraServico,NumeroContrato,NomeOrgao,CidadeSedeOrgao,TipoSituacaoObra,AndamentoObraServico,NomeCredor,TipoIntervencao,TipoSetorBeneficiario,TipoRegimeExecução,TipoObraServico,TipoAcaoEngenharia,TipoCategoriaObraServico,Latitude,Longitude,CidadeObra,Populacao,CodigoIBGE,DataColeta,ValorOriginalContrato,AnoInicioObra,ValorMedicoes,ValorReajustes,ValorAditado,ValorTotalContrato,DiasAditados,DiasParalisados,DiasOriginaisContrato,ValorSuprimido
CONSTRUÇÃO DE DUAS QUADRAS POLIESPORTIVAS COBERTAS NOS SITIOS SANHARÃO E ENCANTO DE CIMA,,,FUNDO DE SAÚDE DE ENCANTO,ENCANTO,PENDENTE DE ENVIO,NÃO REGISTRADO,,CONSTRUÇÃO,INFRAESTRUTURA E TRANSPORTE,EXECUÇÃO DIRETA,QUADRA DE ESPORTE,OBRA,ESPORTE E LAZER,-6.13204,-38.31933,ENCANTO,5231,2403301,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
CONTRATAÇÃO DE EMPRESA DE ENGENHARIA PARA IMPLANTAÇÃO DO PARQUE ECOLÓGICO DE CAPIM MACIO - NATAL/RN.,1283.006.2021,,SECRETARIA MUNICIPAL DE SERVIÇOS URBANOS DE NATAL,NATAL,CADASTRADA,NÃO REGISTRADO,,CONSTRUÇÃO,MEIO AMBIENTE,EXECUÇÃO DIRETA,OUTROS,OBRA,OUTROS,-5.86055,-35.19753,NATAL,803739,2408102,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
EXECUÇÃO DE PAVIMENTAÇÃO EM DIVERSAS RUAS DO MUNICÍPIO DE APODI/RN,,,PREFEITURA MUNICIPAL DE APODI,APODI,PENDENTE DE ENVIO,NÃO REGISTRADO,,OUTROS,INFRAESTRUTURA E TRANSPORTE,EXECUÇÃO INDIRETA,VIA URBANA PAVIMENTADA,OBRA,ESTRADAS E RODOVIAS,-5.66572,-37.81168,APODI,34763,2401008,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
"MODERNIZAÇÃO E ADEQUAÇÃO DO GINÁSIO POLIESPORTIVO, WILSON CUSTÓDIO",,,PREFEITURA MUNICIPAL DE APODI,APODI,PENDENTE DE ENVIO,NÃO REGISTRADO,,OUTROS,OUTRO,EXECUÇÃO INDIRETA,UNIDADES ADMINISTRATIVAS,OBRA,PRÉDIOS PÚBLICOS,-5.66122,-37.79731,APODI,34763,2401008,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
CONCLUSÃO DA URBANIZAÇÃO E ILUMINAÇÃO DA AVENIDA DINARTE MARIZ,437.022.2021,,PREFEITURA MUNICIPAL DE PAU DOS FERROS,PAU DOS FERROS,CADASTRADA,NÃO REGISTRADO,,OUTROS,OUTRO,EXECUÇÃO INDIRETA,VIA URBANA PAVIMENTADA,OBRA,ESTRADAS E RODOVIAS,-6.10967,-38.20278,PAU DOS FERROS,27745,2409407,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
PAVIMENTAÇÃO DA RUA LUIZ ANTONIO TORRES E RUA PROJETADA NO MUNICIPIO DE APODI,343.007.2021,,PREFEITURA MUNICIPAL DE APODI,APODI,CADASTRADA,NÃO REGISTRADO,,OUTROS,OUTRO,EXECUÇÃO INDIRETA,VIA URBANA PAVIMENTADA,OBRA,ESTRADAS E RODOVIAS,-5.67611,-37.7879,APODI,34763,2401008,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
PAVIMENTAÇÃO DA RUA LUIZ ANTONIO TORRES E RUA PROJETADA NO MUNICIPIO DE APODI,343.007.2021,,PREFEITURA MUNICIPAL DE APODI,APODI,CADASTRADA,NÃO REGISTRADO,,OUTROS,OUTRO,EXECUÇÃO INDIRETA,VIA URBANA PAVIMENTADA,OBRA,ESTRADAS E RODOVIAS,-5.64969,-37.79882,APODI,34763,2401008,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
PAVIMENTAÇÃO E DRENAGEM DA RUA FRANCISCO HENRIQUE DA CUNHA E DA CONTINUAÇÃO DA RUA PAUL PIERRE HARRIS E PROJETADA 03 (DANDÃO SENA) E CONSTRUÇÃO DE PASSEIOS (CALÇADAS) EM DIVERSAS RUAS,437.023.2021,,PREFEITURA MUNICIPAL DE PAU DOS FERROS,PAU DOS FERROS,CADASTRADA,NÃO REGISTRADO,,OUTROS,OUTRO,EXECUÇÃO INDIRETA,VIA URBANA PAVIMENTADA,OBRA,ESTRADAS E RODOVIAS,-6.12067,-38.22167,PAU DOS FERROS,27745,2409407,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
"RESTAURAÇÃO, REFORMA E AMPLIAÇÃO DE ESTRUTURA FISICA EXISTENTE PARA A IMPLANTAÇÃO DO ATERRO CONTROLADO.",437.024.2021,,PREFEITURA MUNICIPAL DE PAU DOS FERROS,PAU DOS FERROS,CADASTRADA,NÃO REGISTRADO,,OUTROS,OUTRO,EXECUÇÃO INDIRETA,UNIDADES ADMINISTRATIVAS,OBRA,PRÉDIOS PÚBLICOS,-6.08483,-38.20889,PAU DOS FERROS,27745,2409407,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
EXECUÇÃO DE CALÇADAS E PASSEIOS DE ACESSO A PRAÇA DE EVENTOS DE PILÕES/RN,,,FUNDO DE SAÚDE DE PILÕES,PILÕES,PENDENTE DE ENVIO,NÃO REGISTRADO,,CONSTRUÇÃO,TURISMO,EXECUÇÃO INDIRETA,VIA URBANA PAVIMENTADA,OBRA,ESTRADAS E RODOVIAS,-6.2725,-38.04786,PILÕES,3453,2410009,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
CONSTRUCAO DE QUADRA POLIESPORTIVA,384.005.2021,,PREFEITURA MUNICIPAL DE GUAMARÉ,GUAMARÉ,CADASTRADA,NÃO REGISTRADO,,OUTROS,OUTRO,EXECUÇÃO DIRETA,UNIDADES ADMINISTRATIVAS,OBRA,PRÉDIOS PÚBLICOS,-5.63926,-36.19524,GUAMARÉ,12404,2404507,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
"CONTRATAÇÃO DE EMPRESA PARA EXECUÇÃO DE OBRAS DE URBANIZAÇÃO DA SEGUNDA ETAPA DO CALÇADÃO A SER EXECUTADO NA ENTRADA DA CIDADE DE ENCANTO-RN, MARGEM ESQUERDA DA RN 117, SENTIDO PAU DOS FERROS.",371.001.2021,,PREFEITURA MUNICIPAL DE ENCANTO,ENCANTO,CADASTRADA,NÃO REGISTRADO,,CONSTRUÇÃO,URBANIZAÇÃO E HABITAÇÃO,EXECUÇÃO DIRETA,OUTROS,OBRA,OUTROS,-6.15421,-38.34503,ENCANTO,5231,2403301,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇO DA EXECUÇÃO DA OBRA DE REFORMA DO PRÉDIO DA CÂMARA MUNICIPAL DE LAGOA DE PEDRAS/RN.,089.001.2021,,CÂMARA MUNICIPAL DE LAGOA DE PEDRAS,LAGOA DE PEDRAS,CADASTRADA,NÃO REGISTRADO,,REFORMA,PODER LEGISLATIVO,EXECUÇÃO INDIRETA,OUTROS,OBRA,OUTROS,-6.15098,-35.43788,LAGOA DE PEDRAS,6989,2406304,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
EXECUÇÃO DE CALÇADAS E PASSEIOS DE ACESSO A PRAÇA DE EVENTOS DE PILÕES/RN,781.001.2021,,FUNDO DE SAÚDE DE PILÕES,PILÕES,CADASTRADA,NÃO REGISTRADO,,CONSTRUÇÃO,TURISMO,EXECUÇÃO INDIRETA,VIA URBANA PAVIMENTADA,OBRA,ESTRADAS E RODOVIAS,-6.28117,-38.01956,PILÕES,3453,2410009,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
PAVIMENTAÇÃO EM PARALELEPÍPEDOS E DRENAGEM SUPERFICIAL DE DIVERSAS RUAS NO MUNICIPIO DE PARELHAS/RN.,,,PREFEITURA MUNICIPAL DE PARELHAS,PARELHAS,PENDENTE DE ENVIO,NÃO REGISTRADO,,PAVIMENTAÇÃO,INFRAESTRUTURA E TRANSPORTE,EXECUÇÃO INDIRETA,VIA URBANA PAVIMENTADA,OBRA,ESTRADAS E RODOVIAS,-6.68933,-36.65743,PARELHAS,20354,2408904,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
CONTRATAÇÃO DOS SERVIÇOS DE ENGENHARIA PARA EXECUÇÃO DAS OBRAS DE PAVIMENTAÇÃO EM PARALELEPÍPEDOS COM DRENAGEM SUPERFICIAL E SINALIZAÇÃO VERTICAL EM DIVERSAS RUAS DO MUNICÍPIO DE LAJES PINTADAS/RN,407.003.2021,,PREFEITURA MUNICIPAL DE LAJES PINTADA,LAJES PINTADAS,CADASTRADA,NÃO REGISTRADO,,OUTROS,OUTRO,EXECUÇÃO DIRETA,VIA URBANA PAVIMENTADA,OBRA,ESTRADAS E RODOVIAS,-6.1545,-36.11639,LAJES PINTADAS,4612,2406809,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
EXECUÇÃO DAS OBRAS/SERVIÇOS DE REFORMAS DAS UNIDADES BÁSICAS DE SAÚDE - UBS DA ZONA URBANA E RURAL NO MUNICÍPIO DE SERRA CAIADA/RN.,,,PREFEITURA MUNICIPAL DE SERRA CAIADA,SERRA CAIADA,PENDENTE DE ENVIO,NÃO REGISTRADO,,OUTROS,OUTRO,EXECUÇÃO INDIRETA,POSTO DE SAÚDE,OBRA,SAÚDE,-6.10628,-35.71173,SERRA CAIADA,8768,2410306,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
EXECUÇÃO DAS OBRAS/SERVIÇOS DE REFORMAS DAS UNIDADES BÁSICAS DE SAÚDE - UBS DA ZONA URBANA E RURAL NO MUNICÍPIO DE SERRA CAIADA/RN.,,,PREFEITURA MUNICIPAL DE SERRA CAIADA,SERRA CAIADA,PENDENTE DE ENVIO,NÃO REGISTRADO,,OUTROS,OUTRO,EXECUÇÃO INDIRETA,POSTO DE SAÚDE,OBRA,SAÚDE,-6.10636,-35.71066,SERRA CAIADA,8768,2410306,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
"OBRAS/SERVIÇOS DE MOBILIDADE URBANA COM CONSTRUÇÃO DE CALÇADAS, NA ZONA URBANA NO MUNICÍPIO DE SERRA CAIADA/RN.",457.007.2021,,PREFEITURA MUNICIPAL DE SERRA CAIADA,SERRA CAIADA,CADASTRADA,NÃO REGISTRADO,,OUTROS,OUTRO,EXECUÇÃO INDIRETA,UNIDADES ADMINISTRATIVAS,OBRA,PRÉDIOS PÚBLICOS,-6.10604,-35.71291,SERRA CAIADA,8768,2410306,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
PAVIMENTAÇÃO EM PARALELEPÍPEDOS E DRENAGEM SUPERFICIAL DE DIVERSAS RUAS NO MUNICIPIO DE PARELHAS/RN,,,PREFEITURA MUNICIPAL DE PARELHAS,PARELHAS,PENDENTE DE ENVIO,NÃO REGISTRADO,,PAVIMENTAÇÃO,INFRAESTRUTURA E TRANSPORTE,EXECUÇÃO INDIRETA,VIA URBANA PAVIMENTADA,OBRA,ESTRADAS E RODOVIAS,-6.68856,-36.65721,PARELHAS,20354,2408904,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
CONTRATAÇÃO DE EMPRESA ESPECIALZADA NA EXECUÇÃO DE SERVIÇOS DE PAVIMENTAÇÃO (RUA MARIA ARLINDA),440.001.2021,,PREFEITURA MUNICIPAL DE PILÕES,PILÕES,CADASTRADA,NÃO REGISTRADO,,CONSTRUÇÃO,INFRAESTRUTURA E TRANSPORTE,EXECUÇÃO INDIRETA,VIA URBANA PAVIMENTADA,OBRA,ESTRADAS E RODOVIAS,-6.31257,-38.02094,PILÕES,3453,2410009,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
CONTRATAÇÃO DE EMPRESA ESPECIALZADA NA EXECUÇÃO DE SERVIÇOS DE PAVIMENTAÇÃO (RUA MARIA ARLINDA),440.001.2021,,PREFEITURA MUNICIPAL DE PILÕES,PILÕES,CADASTRADA,NÃO REGISTRADO,,CONSTRUÇÃO,INFRAESTRUTURA E TRANSPORTE,EXECUÇÃO INDIRETA,VIA URBANA PAVIMENTADA,OBRA,ESTRADAS E RODOVIAS,-6.31257,-38.02094,PILÕES,3453,2410009,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
EXECUÇÃO DE REFORMA E MODERNIZAÇÃO DO ESTÁDIO MUNICIPAL 9 DE JANEIRO,437.025.2021,,PREFEITURA MUNICIPAL DE PAU DOS FERROS,PAU DOS FERROS,CADASTRADA,NÃO REGISTRADO,,OUTROS,EDUCAÇÃO,EXECUÇÃO INDIRETA,ESTÁDIO,OBRA,ESPORTE E LAZER,-6.12667,-38.22811,PAU DOS FERROS,27745,2409407,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
CONTRATAÇÃO DA PRESTAÇÃO DE SERVIÇOS DE ENGENHARIA CIVIL DE DRENAGEM E PAVIMENTAÇÃO DA ESTRADA DE ACESSO AO MIRANTE SÃO JOÃO BATISTA NO MUNICIPAL DE ENCANTO-RN,371.002.2021,,PREFEITURA MUNICIPAL DE ENCANTO,ENCANTO,CADASTRADA,NÃO REGISTRADO,,PAVIMENTAÇÃO,URBANIZAÇÃO E HABITAÇÃO,EXECUÇÃO DIRETA,DRENAGEM URBANA,OBRA,SANEAMENTO BÁSICO,-6.10369,-38.31139,ENCANTO,5231,2403301,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
"SERVIÇOS DE ENGENHARIA PARA MANUTENÇÃO, CONSERVAÇÃO E MELHORIAS NA INFRAESTRUTURA DE DRENAGEM E PAVIMENTAÇÃO DAS REGIÕES ADMINISTRATIVAS ZONA NORTE E OESTE DA CIDADE DO NATAL/RN – LOTE II",1282.015.2021,,SECRETARIA MUNICIPAL DE OBRAS PÚBLICAS E INFRAESTRUTURA DE NATAL,NATAL,CADASTRADA,NÃO REGISTRADO,,MANUTENÇÃO,INFRAESTRUTURA E TRANSPORTE,EXECUÇÃO INDIRETA,"MANUTENÇÃO (EX: GASODUTOS, ILUMINAÇÃO PÚBLICA, SINALIZAÇÃO VIÁRIA, ETC)",SERVIÇO DE ENGENHARIA,SERVIÇOS DE ENGENHARIA,-5.72743,-35.26352,NATAL,803739,2408102,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
"CONTRATAÇÃO DE EMPRESA PARA A CONSTRUÇÃO DE 1 (UMA) QUADRA ESPORTIVA ESCOLAR COBERTA, SITUADA NA E. M. DEP. DJALMA MARINHO - RUA MANOEL HENRIQUE - SÃO PAULO DO POTENGI - RN.",479.006.2021,31080001,PREFEITURA MUNICIPAL DE SÃO PAULO DO POTENGI,SÃO PAULO DO POTENGI,INICIADA,NÃO REGISTRADO,EMPREENDIMENTOS CONSTRUÇÕES E COMERCIO DA CONSTRUÇÃO LTDA - EPP,CONSTRUÇÃO,EDUCAÇÃO,EXECUÇÃO INDIRETA,QUADRA E GINÁSIO DENTRO DA ESCOLA,OBRA,EDUCAÇÃO E CULTURA,-5.89512,-35.76555,SÃO PAULO DO POTENGI,15843,2412609,2021-07-30 10:33:33,486754.28,2017,0,0,0,486754.28,0,0,181,0
"CONTRATAÇÃO DE EMPRESA PARA EXECUÇÃO DAS OBRAS DE AMPLIAÇÃO DA UNDIADE BÁSICA DE SAÚDE DO CENTRO,LOCALIZADA NA RUA AGOSTINHO DA FONSECA NO MUNICÍPIO DE LUCRÉCIA.",409.011.2021,20180049,PREFEITURA MUNICIPAL DE LUCRÉCIA,LUCRÉCIA,CADASTRADA,NÃO REGISTRADO,CONSTRUART CONSTRUÇÕES PAVIMENTAÇÃO LTDA - ME,OUTROS,OUTRO,EXECUÇÃO INDIRETA,UNIDADES ADMINISTRATIVAS,OBRA,PRÉDIOS PÚBLICOS,-6.11891,-37.81313,LUCRÉCIA,3633,2406908,2021-07-30 10:33:33,127805.67,2018,0,0,0,127805.67,0,0,266,0
"PAVIMENTAÇÃO A PARALELEPIPEDO PELO METODO CONVENCIONAL DAS RUAS BAHIA, SANTO ANTONIO, TRAVESSA SANTO ANTONIO TRECHO 01 E 02 - BAIRRO SERRADA - (CONT. 163/2018, EMENDA SIN/RN CONVENIO 016/2017)",464.016.2021,163,PREFEITURA MUNICIPAL DE SÃO GONÇALO DO AMARANTE,SÃO GONÇALO DO AMARANTE,CONCLUÍDA - COM TERMO DE RECEBIMENTO PROVISÓRIO,NÃO REGISTRADO,CONSTRUTORA ASSU EIRELI,OUTROS,OUTRO,EXECUÇÃO INDIRETA,VIA URBANA PAVIMENTADA,OBRA,ESTRADAS E RODOVIAS,-5.77869,-35.2755,SÃO GONÇALO DO AMARANTE,87668,2412005,2021-07-30 10:33:33,155284.16,2018,0,0,0,155284.16,997,0,90,0
"PAVIMENTAÇÃO À PARALELEPIPEDO PELO METODO BRIPAR DA RUA BOA VISTA - BAIRRO SERRADA - SÃO GONÇALO DO AMARANTE (CONT. PMSGA 164/2018, EMENDA SIN/RN CONVÊNIO 017/2017)",464.017.2021,164,PREFEITURA MUNICIPAL DE SÃO GONÇALO DO AMARANTE,SÃO GONÇALO DO AMARANTE,CONCLUÍDA - COM TERMO DE RECEBIMENTO PROVISÓRIO,NÃO REGISTRADO,CONSTRUTORA ASSU EIRELI,OUTROS,OUTRO,EXECUÇÃO INDIRETA,VIA URBANA PAVIMENTADA,OBRA,ESTRADAS E RODOVIAS,-5.77787,-35.27409,SÃO GONÇALO DO AMARANTE,87668,2412005,2021-07-30 10:33:33,85869.76,2018,0,0,0,85869.76,1020,0,90,0
SERVIÇOS DE CONSERVAÇÃO NA MALHA RODOVIÁRIO DO V DISTRITO RODOVIÁRIO EM NATAL/RN,201.002.2021,006/2016-PJ,DEPARTAMENTO DE ESTRADAS E RODAGENS DO RN,NATAL,CADASTRADA,NÃO REGISTRADO,AGC CONSTRUÇÕES E EMPREENDIMENTOS LTDA00,MANUTENÇÃO,INFRAESTRUTURA E TRANSPORTE,EXECUÇÃO INDIRETA,CONSERVAÇÃO (LIMPEZA URBANA),SERVIÇO DE ENGENHARIA,SERVIÇOS DE ENGENHARIA,-5.82219,-35.21171,NATAL,803739,2408102,2021-07-30 10:33:33,4391000,2016,0,0,0,4391000,1706,0,365,0
SERVIÇOS DE CONSERVAÇÃO NA MALHA RODOVIÁRIO DO I DISTRITO RODOVIÁRIO EM MOSSORÓ/RN,201.005.2021,005/2016-PJ,DEPARTAMENTO DE ESTRADAS E RODAGENS DO RN,NATAL,CADASTRADA,NÃO REGISTRADO,POTIGUAR CONSTRUTORA LTDA,MANUTENÇÃO,INFRAESTRUTURA E TRANSPORTE,EXECUÇÃO INDIRETA,CONSERVAÇÃO (LIMPEZA URBANA),SERVIÇO DE ENGENHARIA,SERVIÇOS DE ENGENHARIA,-5.17613,-37.34293,NATAL,803739,2408003,2021-07-30 10:33:33,3983856.94,2016,0,0,0,3983856.94,1742,0,365,0
SERVIÇOS DE CONSERVAÇÃO NA MALHA RODOVIÁRIO DO VI DISTRITO RODOVIÁRIO EM PAU DOS FERROS/RN,201.003.2021,003/2016-PJ,DEPARTAMENTO DE ESTRADAS E RODAGENS DO RN,NATAL,CADASTRADA,NÃO REGISTRADO,FEC CONSTRUÇÕES LTDA.,CONSERVAÇÃO,INFRAESTRUTURA E TRANSPORTE,EXECUÇÃO INDIRETA,CONSERVAÇÃO (LIMPEZA URBANA),SERVIÇO DE ENGENHARIA,SERVIÇOS DE ENGENHARIA,-6.11445,-38.2063,NATAL,803739,2409407,2021-07-30 10:33:33,3573000,2016,0,0,0,3573000,1965,0,365,0
SERVIÇOS DE CONSERVAÇÃO NA MALHA RODOVIÁRIO DO II DISTRITO RODOVIÁRIO EM CAICÓ/RN,201.008.2021,010/2016-PJ,DEPARTAMENTO DE ESTRADAS E RODAGENS DO RN,NATAL,CADASTRADA,NÃO REGISTRADO,ESSE ENGENHARIA SINALIZAÇÃO E SERVIÇOS ESPECIAIS LTDA.,CONSERVAÇÃO,INFRAESTRUTURA E TRANSPORTE,EXECUÇÃO INDIRETA,CONSERVAÇÃO (LIMPEZA URBANA),SERVIÇO DE ENGENHARIA,SERVIÇOS DE ENGENHARIA,-6.46247,-37.09279,NATAL,803739,2402006,2021-07-30 10:33:33,3480000,2016,0,0,0,3480000,1756,0,365,0
"ESCOLHA DA PROPOSTA MAIS VANTAJOSA PARA A CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DAS OBRAS DE PAVIMENTAÇÃO E DRENAGEM SUPERFICIAL DAS RUAS ANTONIO DUARTE E DR. LACY XAVIER, LOCALIZADAS NA VILA RENASCER ZONA URBANA DO MUNICIPIO DE LUCRÉCIA.",409.017.2021,20170293                      ,PREFEITURA MUNICIPAL DE LUCRÉCIA,LUCRÉCIA,CADASTRADA,NÃO REGISTRADO,"NUNES EMPREENDIMENTOS, COMÉRCIO, CONSTRUÇÕES E SERVIÇOS LTDA-ME",OUTROS,OUTRO,EXECUÇÃO INDIRETA,VIA URBANA PAVIMENTADA,OBRA,ESTRADAS E RODOVIAS,-6.11161,-37.81771,LUCRÉCIA,3633,2406908,2021-07-30 10:33:33,119114.94,2017,0,0,0,119114.94,0,0,367,0
IMPLANTAÇÃO E MODERNIZAÇÃO DE INFRAESTRUTURA ESPORTIVA,442.002.2021,0014/16                       ,PREFEITURA MUNICIPAL DE PORTALEGRE,PORTALEGRE,CADASTRADA,NÃO REGISTRADO,HIRATA CONSTRUCOES LTDA - EPP,REFORMA E AMPLIAÇÃO,ESPORTE,EXECUÇÃO INDIRETA,GINÁSIO POLIESPORTIVO,OBRA,ESPORTE E LAZER,-6.02758,-37.99026,PORTALEGRE,7320,2410207,2021-07-30 10:33:33,414988.18,2016,0,0,0,414988.18,0,0,365,0
IMPLANTAÇÃO E MODERNIZAÇÃO DE INFRAESTRUTURA ESPORTIVA,442.002.2021,0014/16                       ,PREFEITURA MUNICIPAL DE PORTALEGRE,PORTALEGRE,CADASTRADA,NÃO REGISTRADO,HIRATA CONSTRUCOES LTDA - EPP,REFORMA E AMPLIAÇÃO,ESPORTE,EXECUÇÃO INDIRETA,GINÁSIO POLIESPORTIVO,OBRA,ESPORTE E LAZER,-6.04253,-37.9953,PORTALEGRE,7320,2410207,2021-07-30 10:33:33,414988.18,2016,0,0,0,414988.18,0,0,365,0
REFORMA DA COMPERVE,536.007.2021,036/2015,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,MOSSORÓ,CADASTRADA,NÃO REGISTRADO,J.Z.R.CONSTRUÇÕES LTDA,REFORMA,EDUCAÇÃO,EXECUÇÃO INDIRETA,UNIVERSIDADE,OBRA,EDUCAÇÃO E CULTURA,-5.20598,-37.31657,MOSSORÓ,259815,2408003,2021-07-30 10:33:33,628362.61,2015,0,0,0,628362.61,182,0,366,0
"EXECUÇÃO DE OBRAS E SERVIÇOS DE ENGENHARIA, COM FORNECIMENTO DE MATERIAL E EQUIPAMENTOS, PARA CONSTRUÇÃO DA ESTAÇÃO DE TRATAMENTO DE ESGOTOS – ETE JAGUARIBE, DO SISTEMA DE ESGOTAMENTO SANITÁRIO DA ZONA NORTE, NA CIDADE DO NATAL/RN",008.011.2021,15.0033,COMPANHIA DE ÁGUAS E ESGOTOS DO RN,NATAL,CADASTRADA,NÃO REGISTRADO,GEPE ENGENHARIA LTDA,CONSTRUÇÃO,RECURSOS HÍDRICOS E SANEAMENTO,EXECUÇÃO INDIRETA,ESTAÇÃO DE TRATAMENTO DE ESGOTO (ETE),OBRA,SANEAMENTO BÁSICO,-5.76105,-35.22475,NATAL,803739,2408102,2021-07-30 10:33:33,81329166.82,2016,0,0,123780764.85,205109931.67,2416,0,730,0
CONSTRUÇÃO DE UMA CRECHE NO DISTRITO DE TRAÍRAS NO MUNICÍPIO DE MACAÍBA - RN.,1246.018.2021,35/2016                       ,SECRETARIA MUNICIPAL DE INFRAESTRUTURA DE MACAÍBA,MACAÍBA,INICIADA,DE ACORDO COM O CRONOGRAMA,SOL BRAZEN INCORPORAÇÃO E CONSTRUÇÃO LTDA -EPP,CONSTRUÇÃO,EDUCAÇÃO,EXECUÇÃO INDIRETA,CRECHE,OBRA,EDUCAÇÃO E CULTURA,-5.98761,-35.48461,MACAÍBA,69467,2407104,2021-07-30 10:33:33,1195497.38,2016,1060399.14,0,0,1195497.38,0,0,426,0
CONSTRUÇÃO DE UMA CRECHE NO DISTRITO DE TRAÍRAS NO MUNICÍPIO DE MACAÍBA - RN.,1246.018.2021,35/2016                       ,SECRETARIA MUNICIPAL DE INFRAESTRUTURA DE MACAÍBA,MACAÍBA,INICIADA,DE ACORDO COM O CRONOGRAMA,SOL BRAZEN INCORPORAÇÃO E CONSTRUÇÃO LTDA -EPP,CONSTRUÇÃO,EDUCAÇÃO,EXECUÇÃO INDIRETA,CRECHE,OBRA,EDUCAÇÃO E CULTURA,-5.98761,-35.48461,MACAÍBA,69467,2407104,2021-07-30 10:33:33,1195497.38,2016,1060399.14,0,0,1195497.38,0,0,426,0
CONSTRUÇÃO DE UMA CRECHE NO DISTRITO DE CAJAZEIRAS NO MUNICÍPIO DE MACAÍBA - RN.,1246.017.2021,36/2016                       ,SECRETARIA MUNICIPAL DE INFRAESTRUTURA DE MACAÍBA,MACAÍBA,INICIADA,ATRASADO COM RELAÇÃO AO CRONOGRAMA,SOL BRAZEN INCORPORAÇÃO E CONSTRUÇÃO LTDA -EPP,CONSTRUÇÃO,EDUCAÇÃO,EXECUÇÃO INDIRETA,CRECHE,OBRA,EDUCAÇÃO E CULTURA,-5.92306,-35.53972,MACAÍBA,69467,2407104,2021-07-30 10:33:33,1195497.38,2016,1435239.29,0,0,1195497.38,179,0,426,0
OBRAS COMPLEMENTARES NO SISTEMA DE ESGOTAMENTO SANITÁRIO DE MACAÍBA/RN,008.014.2021,16.0026,COMPANHIA DE ÁGUAS E ESGOTOS DO RN,NATAL,CADASTRADA,NÃO REGISTRADO,M&K COMERCIO E CONSTRUÇÕES LTDA,AMPLIAÇÃO,RECURSOS HÍDRICOS E SANEAMENTO,EXECUÇÃO INDIRETA,SISTEMA DE ESGOTAMENTO SANITÁRIO,OBRA,SANEAMENTO BÁSICO,-5.88268,-35.35195,NATAL,803739,2407104,2021-07-30 10:33:33,5976111.09,2016,0,0,0,5976111.09,0,0,549,0
CONSTRUÇÃO DA NOVA SEDE DO TJRN,535.001.2021,91/2017,TRIBUNAL DE JUSTIÇA,NATAL,INICIADA,ATRASADO COM RELAÇÃO AO CRONOGRAMA,COMTÉRMICA COMERCIAL TÉRMICA LTDA.,CONSTRUÇÃO,JUSTIÇA,EXECUÇÃO INDIRETA,UNIDADES ADMINISTRATIVAS,OBRA,PRÉDIOS PÚBLICOS,-5.81908,-35.23257,NATAL,803739,2408102,2021-07-30 10:33:33,72729424.41,2018,8290006.01,1476664.16,0,72729424.41,0,0,1096,0
